Cost is: 0.0 | 0 to 1
Cost is: 4085.26760913918 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222 to 444 to 445
Cost is: 3873.507964491684 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222 to 223 to 446
Cost is: 4319.507964491684 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222 to 223 to 446 to 447
Cost is: 3501.7984081295663 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224 to 448
Cost is: 3949.7984081295663 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224 to 448 to 449
Cost is: 3736.0516736124964 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224 to 225 to 450
Cost is: 4186.051673612496 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 224 to 225 to 450 to 451
Cost is: 3643.5678225769607 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226 to 452
Cost is: 4095.5678225769607 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226 to 452 to 453
Cost is: 3879.833883686166 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226 to 227 to 454
Cost is: 4333.833883686166 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 112 to 113 to 226 to 227 to 454 to 455
Cost is: 3625.638394334718 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228 to 456
Cost is: 4081.638394334718 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228 to 456 to 457
Cost is: 3863.9171385793575 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228 to 229 to 458
Cost is: 4321.917138579358 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 228 to 229 to 458 to 459
Cost is: 3769.484077066186 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230 to 460
Cost is: 4229.484077066186 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230 to 460 to 461
Cost is: 4009.7753939160884 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230 to 231 to 462
Cost is: 4471.775393916088 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 56 to 57 to 114 to 115 to 230 to 231 to 462 to 463
Cost is: 3672.9310737458673 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232 to 464
Cost is: 4136.931073745867 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232 to 464 to 465
Cost is: 3915.2348545807176 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232 to 233 to 466
Cost is: 4381.234854580718 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 232 to 233 to 466 to 467
Cost is: 3818.851704015247 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234 to 468
Cost is: 4286.851704015247 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234 to 468 to 469
Cost is: 4063.1678420755056 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234 to 235 to 470
Cost is: 4533.167842075505 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 116 to 117 to 234 to 235 to 470 to 471
Cost is: 3799.122369110514 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236 to 472
Cost is: 4271.122369110513 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236 to 472 to 473
Cost is: 4045.4507594500064 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236 to 237 to 474
Cost is: 4519.450759450006 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 236 to 237 to 474 to 475
Cost is: 3947.116671137357 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238 to 476
Cost is: 4423.116671137357 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238 to 476 to 477
Cost is: 4195.457210577466 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238 to 239 to 478
Cost is: 4673.457210577466 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28 to 29 to 58 to 59 to 118 to 119 to 238 to 239 to 478 to 479
Cost is: 3809.110498914528 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240 to 480
Cost is: 4289.110498914528 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240 to 480 to 481
Cost is: 4059.4630859999043 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240 to 241 to 482
Cost is: 4541.463085999904 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 240 to 241 to 482 to 483
Cost is: 3959.1772396261395 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242 to 484
Cost is: 4443.177239626139 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242 to 484 to 485
Cost is: 4211.541774581892 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242 to 243 to 486
Cost is: 4697.541774581892 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242 to 243 to 486 to 487
Cost is: 3937.641291898303 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244 to 488
Cost is: 4425.641291898302 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244 to 488 to 489
Cost is: 4192.017676588589 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244 to 245 to 490
Cost is: 4682.017676588589 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244 to 245 to 490 to 491
Cost is: 4089.7792788204656 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246 to 492
Cost is: 4581.779278820466 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246 to 492 to 493
Cost is: 4346.1674167084275 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246 to 247 to 494
Cost is: 4840.1674167084275 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246 to 247 to 494 to 495
Cost is: 3983.7110152205923 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248 to 496
Cost is: 4479.711015220592 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248 to 496 to 497
Cost is: 4242.1108113295995 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248 to 249 to 498
Cost is: 4740.1108113295995 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248 to 249 to 498 to 499
Cost is: 4137.919094504957 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250 to 500
Cost is: 4637.919094504957 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250 to 500 to 501
Cost is: 4398.3304553810785 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250 to 251 to 502
Cost is: 4900.3304553810785 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250 to 251 to 502 to 503
Cost is: 4114.570262776151 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252 to 504
Cost is: 4618.570262776151 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252 to 504 to 505
Cost is: 4376.993096451833 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252 to 253 to 506
Cost is: 4882.993096451833 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252 to 253 to 506 to 507
Cost is: 4270.8473173533785 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254 to 508
Cost is: 4778.8473173533785 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254 to 508 to 509
Cost is: 4535.281533312256 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254 to 255 to 510
Cost is: 5045.281533312256 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254 to 255 to 510 to 511
Cost is: 4097.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256 to 512
Cost is: 4609.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256 to 512 to 513
Cost is: 4363.445509142826 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256 to 257 to 514
Cost is: 4877.445509142826 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256 to 257 to 514 to 515
Cost is: 4255.3449478488 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258 to 516
Cost is: 4771.3449478488 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258 to 516 to 517
Cost is: 4523.801662460417 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258 to 259 to 518
Cost is: 5041.801662460417 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258 to 259 to 518 to 519
Cost is: 4230.177354927947 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260 to 520
Cost is: 4750.177354927947 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260 to 520 to 521
Cost is: 4500.645188645289 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260 to 261 to 522
Cost is: 5022.645188645289 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260 to 261 to 522 to 523
Cost is: 4390.589147451067 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262 to 524
Cost is: 4914.589147451067 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262 to 524 to 525
Cost is: 4663.068015232131 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262 to 263 to 526
Cost is: 5189.068015232131 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262 to 263 to 526 to 527
Cost is: 4274.975089082434 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264 to 528
Cost is: 4802.975089082434 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264 to 528 to 529
Cost is: 4549.464907176201 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264 to 265 to 530
Cost is: 5079.464907176201 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264 to 265 to 530 to 531
Cost is: 4437.452709581462 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266 to 532
Cost is: 4969.452709581462 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266 to 532 to 533
Cost is: 4713.953395498723 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266 to 267 to 534
Cost is: 5247.953395498723 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266 to 267 to 534 to 535
Cost is: 4410.4608362635245 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268 to 536
Cost is: 4946.4608362635245 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268 to 536 to 537
Cost is: 4688.972308748573 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268 to 269 to 538
Cost is: 5226.972308748573 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268 to 269 to 538 to 539
Cost is: 4575.003298505086 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270 to 540
Cost is: 5115.003298505086 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270 to 540 to 541
Cost is: 4855.525477508261 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270 to 271 to 542
Cost is: 5397.525477508261 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270 to 271 to 542 to 543
Cost is: 4412.092917338929 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272 to 544
Cost is: 4956.092917338929 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272 to 544 to 545
Cost is: 4694.625723989957 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272 to 273 to 546
Cost is: 5240.625723989957 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272 to 273 to 546 to 547
Cost is: 4578.699264205567 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274 to 548
Cost is: 5126.699264205567 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274 to 548 to 549
Cost is: 4863.242620787689 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274 to 275 to 550
Cost is: 5413.242620787689 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274 to 275 to 550 to 551
Cost is: 4549.877917527623 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276 to 552
Cost is: 5101.877917527623 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276 to 552 to 553
Cost is: 4836.431747452474 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276 to 277 to 554
Cost is: 5390.431747452474 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276 to 277 to 554 to 555
Cost is: 4718.547219747164 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278 to 556
Cost is: 5274.547219747164 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278 to 556 to 557
Cost is: 5007.111447530372 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278 to 279 to 558
Cost is: 5565.111447530372 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278 to 279 to 558 to 559
Cost is: 4593.360452197363 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280 to 560
Cost is: 5153.360452197363 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280 to 560 to 561
Cost is: 4883.935003434854 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280 to 281 to 562
Cost is: 5445.935003434854 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280 to 281 to 562 to 563
Cost is: 4764.091807145167 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282 to 564
Cost is: 5328.091807145167 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282 to 564 to 565
Cost is: 5056.67660849013 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282 to 283 to 566
Cost is: 5622.67660849013 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282 to 283 to 566 to 567
Cost is: 4733.436092288157 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284 to 568
Cost is: 5301.436092288157 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284 to 568 to 569
Cost is: 5028.031071428677 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284 to 285 to 570
Cost is: 5598.031071428677 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284 to 285 to 570 to 571
Cost is: 4906.228622857091 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286 to 572
Cost is: 5478.228622857091 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286 to 572 to 573
Cost is: 5202.833708494394 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286 to 287 to 574
Cost is: 5776.833708494394 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286 to 287 to 574 to 575
Cost is: 4711.347475817791 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288 to 576
Cost is: 5287.347475817791 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288 to 576 to 577
Cost is: 5009.962597645102 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288 to 289 to 578
Cost is: 5587.962597645102 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288 to 289 to 578 to 579
Cost is: 4886.200329351208 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290 to 580
Cost is: 5466.200329351208 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290 to 580 to 581
Cost is: 5186.825418033188 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290 to 291 to 582
Cost is: 5768.825418033188 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290 to 291 to 582 to 583
Cost is: 4853.705624678554 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292 to 584
Cost is: 5437.705624678554 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292 to 584 to 585
Cost is: 5156.340611831309 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292 to 293 to 586
Cost is: 5742.340611831309 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292 to 293 to 586 to 587
Cost is: 5030.617971961943 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294 to 588
Cost is: 5618.617971961943 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294 to 588 to 589
Cost is: 5335.262790133567 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294 to 295 to 590
Cost is: 5925.262790133567 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294 to 295 to 590 to 591
Cost is: 4895.8345929630095 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296 to 592
Cost is: 5487.8345929630095 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296 to 592 to 593
Cost is: 5202.489175614668 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296 to 297 to 594
Cost is: 5796.489175614668 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296 to 297 to 594 to 595
Cost is: 5074.805627270342 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298 to 596
Cost is: 5670.805627270342 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298 to 596 to 597
Cost is: 5383.469908757852 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298 to 299 to 598
Cost is: 5981.469908757852 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298 to 299 to 598 to 599
Cost is: 5040.4675620775515 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300 to 600
Cost is: 5640.4675620775515 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300 to 600 to 601
Cost is: 5351.141477633457 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300 to 301 to 602
Cost is: 5953.141477633457 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300 to 301 to 602 to 603
Cost is: 5221.496498268665 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302 to 604
Cost is: 5825.496498268665 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302 to 604 to 605
Cost is: 5534.179983984795 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302 to 303 to 606
Cost is: 6140.179983984795 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302 to 303 to 606 to 607
Cost is: 5033.558630431253 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304 to 608
Cost is: 5641.558630431253 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304 to 608 to 609
Cost is: 5348.251623241729 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304 to 305 to 610
Cost is: 5958.251623241729 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304 to 305 to 610 to 611
Cost is: 5216.644704096905 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306 to 612
Cost is: 5828.644704096905 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306 to 612 to 613
Cost is: 5533.347141761598 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306 to 307 to 614
Cost is: 6147.347141761598 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306 to 307 to 614 to 615
Cost is: 5180.459138713817 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308 to 616
Cost is: 5796.459138713817 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308 to 616 to 617
Cost is: 5499.170959802239 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308 to 309 to 618
Cost is: 6117.170959802239 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308 to 309 to 618 to 619
Cost is: 5365.601605365294 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310 to 620
Cost is: 5985.601605365294 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310 to 620 to 621
Cost is: 5686.322749240897 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310 to 311 to 622
Cost is: 6308.322749240897 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310 to 311 to 622 to 623
Cost is: 5221.200245802825 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312 to 624
Cost is: 5845.200245802825 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312 to 624 to 625
Cost is: 5543.930652607713 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312 to 313 to 626
Cost is: 6169.930652607713 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312 to 313 to 626 to 627
Cost is: 5408.398380103248 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314 to 628
Cost is: 6036.398380103248 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314 to 628 to 629
Cost is: 5733.13799074327 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314 to 315 to 630
Cost is: 6363.13799074327 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314 to 315 to 630 to 631
Cost is: 5370.361388045974 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316 to 632
Cost is: 6002.361388045974 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316 to 632 to 633
Cost is: 5697.110144176202 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316 to 317 to 634
Cost is: 6331.110144176202 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316 to 317 to 634 to 635
Cost is: 5559.614483080665 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318 to 636
